# Mix output version 10
# Intel(R) SDE version: 8.50.0 external
# Starting tid 1,  OS-TID 2392
# FINI: end of program

# EMIT_IMAGE_ADDRESSES 
# 
#    IMAGE NAME                                                                              LOW ADDRESS   HIGH ADDRESS  
# 
C:\Windows\system32\kernel32.dll                                                             000077330000  00007744efff
C:\Windows\system32\USER32.dll                                                               000077450000  000077549fff
C:\Windows\SYSTEM32\ntdll.dll                                                                000077550000  0000776eefff
C:\Windows\system32\rundll32.exe                                                             0000ffe00000  0000ffe0ffff
C:\Windows\system32\dwmapi.dll                                                               07fefb660000  07fefb677fff
C:\Windows\system32\uxtheme.dll                                                              07fefba90000  07fefbae5fff
C:\Windows\system32\PROPSYS.dll                                                              07fefbaf0000  07fefbc1bfff
C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_fa3b1e3d17594757\comctl32.dll   07fefbe10000  07fefc003fff
C:\Windows\system32\CRYPTBASE.dll                                                            07fefd080000  07fefd08efff
C:\Windows\system32\KERNELBASE.dll                                                           07fefd570000  07fefd5d9fff
C:\Windows\system32\SHLWAPI.dll                                                              07fefd5e0000  07fefd650fff
C:\Windows\system32\RPCRT4.dll                                                               07fefd660000  07fefd78bfff
C:\Windows\system32\MSCTF.dll                                                                07fefd790000  07fefd898fff
C:\Windows\system32\USP10.dll                                                                07fefd8a0000  07fefd96afff
C:\Windows\system32\GDI32.dll                                                                07fefdb50000  07fefdbb6fff
C:\Windows\system32\LPK.dll                                                                  07fefe020000  07fefe02dfff
C:\Windows\system32\msvcrt.dll                                                               07fefe030000  07fefe0cefff
C:\Windows\system32\OLEAUT32.dll                                                             07fefe0d0000  07fefe1a9fff
C:\Windows\system32\ADVAPI32.dll                                                             07fefe1b0000  07fefe28afff
C:\Windows\system32\shell32.dll                                                              07fefe2a0000  07feff029fff
C:\Windows\system32\imagehlp.dll                                                             07feff0d0000  07feff0e8fff
C:\Windows\system32\ole32.dll                                                                07feff0f0000  07feff2ebfff
C:\Windows\system32\IMM32.DLL                                                                07feff2f0000  07feff31dfff
C:\Windows\SYSTEM32\sechost.dll                                                              07feff320000  07feff33efff
# END_IMAGE_ADDRESSES

# ==============================================
# STATS FOR TID 1  OS-TID  2392 EMIT# 1
# ==============================================
# EMIT_TOP_BLOCK_STATS FOR TID 1  OS-TID 2392 EMIT # 1 EVENT=ICOUNT
BLOCK:     0   PC: 000000007757a1c0   ICOUNT:      3965   EXECUTIONS:       305   #BYTES: 33   %: 0.978   cumltv%: 0.978  FN: RtlFreeHeap  IMG: C:\Windows\SYSTEM32\ntdll.dll  OFFSET: 2a1c0
XDIS 000000007757a39b: BASE 663B531C                 cmp dx, word ptr [rbx+0x1c]
XDIS 000000007757a39f: BASE 753F                     jnz 0x7757a3e0

BLOCK:     2   PC: 000000007757a7d0   ICOUNT:      3120   EXECUTIONS:       120   #BYTES: 95   %: 0.769   cumltv%:  2.56  FN: RtlFreeHeap  IMG: C:\Windows\SYSTEM32\ntdll.dll  OFFSET: 2a7d0
XDIS 000000007757a7d0: BASE 488BC4                   mov rax, rsp
XDIS 000000007757a7d3: BASE 4C894820                 mov qword ptr [rax+0x20], r9
XDIS 000000007757a7d7: BASE 4C894018                 mov qword ptr [rax+0x18], r8
XDIS 000000007757a7db: BASE 48894808                 mov qword ptr [rax+0x8], rcx
XDIS 000000007757a7df: BASE 53                       push rbx
XDIS 000000007757a7e0: BASE 56                       push rsi
XDIS 000000007757a7e1: BASE 57                       push rdi
XDIS 000000007757a7e2: BASE 4154                     push r12
XDIS 000000007757a7e4: BASE 4155                     push r13
XDIS 000000007757a7e6: BASE 4156                     push r14
XDIS 000000007757a7e8: BASE 4157                     push r15
XDIS 000000007757a7ea: BASE 4881EC00030000           sub rsp, 0x300
XDIS 000000007757a7f1: BASE 4D8BE9                   mov r13, r9
XDIS 000000007757a7f4: BASE 498BF0                   mov rsi, r8
XDIS 000000007757a7f7: BASE 488BD9                   mov rbx, rcx
XDIS 000000007757a7fa: BASE 41B401                   mov r12b, 0x1
XDIS 000000007757a7fd: BASE 4488642449               mov byte ptr [rsp+0x49], r12b
XDIS 000000007757a802: BASE C644244800               mov byte ptr [rsp+0x48], 0x0
XDIS 000000007757a807: BASE 44886010                 mov byte ptr [rax+0x10], r12b
XDIS 000000007757a80b: BASE 4533FF                   xor r15d, r15d
XDIS 000000007757a80e: BASE 4C89B858FDFFFF           mov qword ptr [rax-0x2a8], r15
XDIS 000000007757a815: BASE 44887C2450               mov byte ptr [rsp+0x50], r15b
XDIS 000000007757a81a: BASE 6644897C244C             mov word ptr [rsp+0x4c], r15w
XDIS 000000007757a820: BASE 0B5174                   or edx, dword ptr [rcx+0x74]
XDIS 000000007757a823: BASE F7C2600F017D             test edx, 0x7d010f60
XDIS 000000007757a829: BASE 0F85171E0000             jnz 0x7757c646

BLOCK:     3   PC: 000000007757d1a1   ICOUNT:      3048   EXECUTIONS:       381   #BYTES: 32   %: 0.752   cumltv%:  3.31  FN: RtlEnterCriticalSection  IMG: C:\Windows\SYSTEM32\ntdll.dll  OFFSET: 2d1a1
XDIS 000000007757d1a1: BASE 65488B042530000000       mov rax, qword ptr gs:[0x30]
XDIS 000000007757d1aa: BASE 488B4848                 mov rcx, qword ptr [rax+0x48]
XDIS 000000007757d1ae: BASE C7430C01000000           mov dword ptr [rbx+0xc], 0x1
XDIS 000000007757d1b5: BASE 33C0                     xor eax, eax
XDIS 000000007757d1b7: BASE 48894B10                 mov qword ptr [rbx+0x10], rcx
XDIS 000000007757d1bb: BASE 4883C420                 add rsp, 0x20
XDIS 000000007757d1bf: BASE 5B                       pop rbx
XDIS 000000007757d1c0: BASE C3                       ret 

BLOCK:     4   PC: 000007fefd913520   ICOUNT:      3024   EXECUTIONS:       252   #BYTES: 40   %: 0.746   cumltv%:  4.05  FN: ScriptPositionSingleGlyph  IMG: C:\Windows\system32\USP10.dll  OFFSET: 73520
XDIS 000007fefd913520: BASE 410FB7C8                 movzx ecx, r8w
XDIS 000007fefd913524: BASE 450FB7D9                 movzx r11d, r9w
XDIS 000007fefd913528: BASE 4403D9                   add r11d, ecx
XDIS 000007fefd91352b: BASE 41D1FB                   sar r11d, 0x1
XDIS 000007fefd91352e: BASE 410FB7CB                 movzx ecx, r11w
XDIS 000007fefd913532: BASE 8D1449                   lea edx, ptr [rcx+rcx*2]
XDIS 000007fefd913535: BASE 03D2                     add edx, edx
XDIS 000007fefd913537: LONGMODE 4863D2                   movsxd rdx, edx
XDIS 000007fefd91353a: BASE 0FB74C0204               movzx ecx, word ptr [rdx+rax*1+0x4]
XDIS 000007fefd91353f: BASE 66C1C108                 rol cx, 0x8
XDIS 000007fefd913543: BASE 663BD9                   cmp bx, cx
XDIS 000007fefd913546: BASE 7306                     jnb 0x7fefd91354e

BLOCK:     5   PC: 000007fefd912f90   ICOUNT:      2760   EXECUTIONS:       276   #BYTES: 32   %: 0.681   cumltv%:  4.73  FN: ScriptPositionSingleGlyph  IMG: C:\Windows\system32\USP10.dll  OFFSET: 72f90
XDIS 000007fefd912f90: BASE 410FB7C0                 movzx eax, r8w
XDIS 000007fefd912f94: BASE 0FB7D1                   movzx edx, cx
XDIS 000007fefd912f97: BASE 03D0                     add edx, eax
XDIS 000007fefd912f99: BASE D1FA                     sar edx, 0x1
XDIS 000007fefd912f9b: BASE 0FB7C2                   movzx eax, dx
XDIS 000007fefd912f9e: BASE C1E002                   shl eax, 0x2
XDIS 000007fefd912fa1: LONGMODE 4C63D0                   movsxd r10, eax
XDIS 000007fefd912fa4: BASE 410FB7442A06             movzx eax, word ptr [r10+rbp*1+0x6]
XDIS 000007fefd912faa: BASE 66443BD8                 cmp r11w, ax
XDIS 000007fefd912fae: BASE 7306                     jnb 0x7fefd912fb6

BLOCK:     6   PC: 00000000775a9e40   ICOUNT:      2736   EXECUTIONS:       684   #BYTES: 12   %: 0.675   cumltv%:  5.41  FN: memset  IMG: C:\Windows\SYSTEM32\ntdll.dll  OFFSET: 59e40
XDIS 00000000775a9e40: BASE 488911                   mov qword ptr [rcx], rdx
XDIS 00000000775a9e43: BASE 4883C108                 add rcx, 0x8
XDIS 00000000775a9e47: BASE 49FFC9                   dec r9
XDIS 00000000775a9e4a: BASE 75F4                     jnz 0x775a9e40

BLOCK:     7   PC: 000000007756c0ba   ICOUNT:      2313   EXECUTIONS:       257   #BYTES: 38   %:  0.57   cumltv%:  5.98  FN: RtlLeaveCriticalSection  IMG: C:\Windows\SYSTEM32\ntdll.dll  OFFSET: 1c0ba
XDIS 000000007756c0ba: BASE 48895C2430               mov qword ptr [rsp+0x30], rbx
XDIS 000000007756c0bf: BASE 48897C2420               mov qword ptr [rsp+0x20], rdi
XDIS 000000007756c0c4: BASE 48C7411000000000         mov qword ptr [rcx+0x10], 0x0
XDIS 000000007756c0cc: BASE BF01000000               mov edi, 0x1
XDIS 000000007756c0d1: BASE 488BD9                   mov rbx, rcx
XDIS 000000007756c0d4: BASE F00FC17908               lock xadd dword ptr [rcx+0x8], edi
XDIS 000000007756c0d9: BASE FFC7                     inc edi
XDIS 000000007756c0db: BASE 83FFFF                   cmp edi, 0xffffffff
XDIS 000000007756c0de: BASE 7511                     jnz 0x7756c0f1

BLOCK:     8   PC: 000000007757acec   ICOUNT:      2091   EXECUTIONS:       123   #BYTES: 66   %: 0.516   cumltv%:  6.49  FN: RtlFreeHeap  IMG: C:\Windows\SYSTEM32\ntdll.dll  OFFSET: 2acec
XDIS 000000007757acec: BASE 418BFC                   mov edi, r12d
XDIS 000000007757acef: BASE C1EF05                   shr edi, 0x5
XDIS 000000007757acf2: BASE 89BC249C000000           mov dword ptr [rsp+0x9c], edi
XDIS 000000007757acf9: BASE 458B5908                 mov r11d, dword ptr [r9+0x8]
XDIS 000000007757acfd: BASE 452B5918                 sub r11d, dword ptr [r9+0x18]
XDIS 000000007757ad01: BASE 41C1EB05                 shr r11d, 0x5
XDIS 000000007757ad05: BASE 41FFCB                   dec r11d
XDIS 000000007757ad08: BASE 498B4128                 mov rax, qword ptr [r9+0x28]
XDIS 000000007757ad0c: BASE 4C8D04B8                 lea r8, ptr [rax+rdi*4]
XDIS 000000007757ad10: BASE 4C89842468010000         mov qword ptr [rsp+0x168], r8
XDIS 000000007757ad18: BASE 4183E41F                 and r12d, 0x1f
XDIS 000000007757ad1c: BASE BA01000000               mov edx, 0x1
XDIS 000000007757ad21: BASE 410FB6CC                 movzx ecx, r12b
XDIS 000000007757ad25: BASE D3E2                     shl edx, cl
XDIS 000000007757ad27: BASE FFCA                     dec edx
XDIS 000000007757ad29: BASE F7D2                     not edx
XDIS 000000007757ad2b: BASE 412310                   and edx, dword ptr [r8]

BLOCK:     9   PC: 000007fefe039ad1   ICOUNT:      2048   EXECUTIONS:       512   #BYTES: 17   %: 0.505   cumltv%:     7  FN: _rmtmp  IMG: C:\Windows\system32\msvcrt.dll  OFFSET: 9ad1
XDIS 000007fefe039ad1: LONGMODE 4C63E7                   movsxd r12, edi
XDIS 000007fefe039ad4: BASE 488B054D770800           mov rax, qword ptr [rip+0x8774d]
XDIS 000007fefe039adb: BASE 4A833CE000               cmp qword ptr [rax+r12*8], 0x0
XDIS 000007fefe039ae0: BASE 7584                     jnz 0x7fefe039a66

BLOCK:    10   PC: 000007fefe037710   ICOUNT:      2048   EXECUTIONS:       512   #BYTES: 21   %: 0.505   cumltv%:   7.5  FN: _flushall  IMG: C:\Windows\system32\msvcrt.dll  OFFSET: 7710
XDIS 000007fefe037710: LONGMODE 4C63EF                   movsxd r13, edi
XDIS 000007fefe037713: BASE 488B050E9B0800           mov rax, qword ptr [rip+0x89b0e]
XDIS 000007fefe03771a: BASE 4A833CE800               cmp qword ptr [rax+r13*8], 0x0
XDIS 000007fefe03771f: BASE 0F854EFFFFFF             jnz 0x7fefe037673

BLOCK:    11   PC: 000007fefe0454ba   ICOUNT:      2036   EXECUTIONS:       509   #BYTES: 17   %: 0.502   cumltv%:  8.01  FN: _fcloseall  IMG: C:\Windows\system32\msvcrt.dll  OFFSET: 154ba
XDIS 000007fefe0454ba: LONGMODE 4C63E3                   movsxd r12, ebx
XDIS 000007fefe0454bd: BASE 488B0564BD0700           mov rax, qword ptr [rip+0x7bd64]
XDIS 000007fefe0454c4: BASE 4A833CE000               cmp qword ptr [rax+r12*8], 0x0
XDIS 000007fefe0454c9: BASE 7508                     jnz 0x7fefe0454d3

BLOCK:    12   PC: 000007fefe031049   ICOUNT:      1980   EXECUTIONS:       180   #BYTES: 40   %: 0.488   cumltv%:  8.49  FN: memset  IMG: C:\Windows\system32\msvcrt.dll  OFFSET: 1049
XDIS 000007fefe031049: BASE 488911                   mov qword ptr [rcx], rdx
XDIS 000007fefe03104c: BASE 48895108                 mov qword ptr [rcx+0x8], rdx
XDIS 000007fefe031050: BASE 48895110                 mov qword ptr [rcx+0x10], rdx
XDIS 000007fefe031054: BASE 4883C140                 add rcx, 0x40
XDIS 000007fefe031058: BASE 488951D8                 mov qword ptr [rcx-0x28], rdx
XDIS 000007fefe03105c: BASE 488951E0                 mov qword ptr [rcx-0x20], rdx
XDIS 000007fefe031060: BASE 49FFC9                   dec r9
XDIS 000007fefe031063: BASE 488951E8                 mov qword ptr [rcx-0x18], rdx
XDIS 000007fefe031067: BASE 488951F0                 mov qword ptr [rcx-0x10], rdx
XDIS 000007fefe03106b: BASE 488951F8                 mov qword ptr [rcx-0x8], rdx
XDIS 000007fefe03106f: BASE 75D8                     jnz 0x7fefe031049

BLOCK:    13   PC: 000000007757d190   ICOUNT:      1975   EXECUTIONS:       395   #BYTES: 17   %: 0.487   cumltv%:  8.98  FN: RtlEnterCriticalSection  IMG: C:\Windows\SYSTEM32\ntdll.dll  OFFSET: 2d190
XDIS 000000007757d190: BASE 4053                     push rbx
XDIS 000000007757d192: BASE 4883EC20                 sub rsp, 0x20
XDIS 000000007757d196: BASE F00FBA710800             lock btr dword ptr [rcx+0x8], 0x0
XDIS 000000007757d19c: BASE 488BD9                   mov rbx, rcx
XDIS 000000007757d19f: BASE 7320                     jnb 0x7757d1c1

BLOCK:    14   PC: 000000007757a3e0   ICOUNT:      1628   EXECUTIONS:       148   #BYTES: 42   %: 0.401   cumltv%:  9.38  FN: RtlFreeHeap  IMG: C:\Windows\SYSTEM32\ntdll.dll  OFFSET: 2a3e0
XDIS 000000007757a3e0: BASE 498BC3                   mov rax, r11
XDIS 000000007757a3e3: BASE BE01000000               mov esi, 0x1
XDIS 000000007757a3e8: BASE 48C1E810                 shr rax, 0x10
XDIS 000000007757a3ec: BASE 6641894010               mov word ptr [r8+0x10], ax
XDIS 000000007757a3f1: BASE 498BC0                   mov rax, r8
XDIS 000000007757a3f4: BASE 482BC7                   sub rax, rdi
XDIS 000000007757a3f7: BASE 48C1E00C                 shl rax, 0xc
XDIS 000000007757a3fb: BASE 48250000FFFF             and rax, 0xffffffffffff0000
XDIS 000000007757a401: BASE 480BD0                   or rdx, rax
XDIS 000000007757a404: BASE 488B03                   mov rax, qword ptr [rbx]
XDIS 000000007757a407: BASE 488918                   mov qword ptr [rax], rbx

BLOCK:    15   PC: 000007fefe039ae2   ICOUNT:      1536   EXECUTIONS:       512   #BYTES:  8   %: 0.379   cumltv%:  9.76  FN: _rmtmp  IMG: C:\Windows\system32\msvcrt.dll  OFFSET: 9ae2
XDIS 000007fefe039ae2: BASE FFC7                     inc edi
XDIS 000007fefe039ae4: BASE 897C2420                 mov dword ptr [rsp+0x20], edi
XDIS 000007fefe039ae8: BASE EBDF                     jmp 0x7fefe039ac9

BLOCK:    16   PC: 000007fefe037725   ICOUNT:      1536   EXECUTIONS:       512   #BYTES:  8   %: 0.379   cumltv%:  10.1  FN: _flushall  IMG: C:\Windows\system32\msvcrt.dll  OFFSET: 7725
XDIS 000007fefe037725: BASE FFC7                     inc edi
XDIS 000007fefe037727: BASE 897C2420                 mov dword ptr [rsp+0x20], edi
XDIS 000007fefe03772b: BASE EBDB                     jmp 0x7fefe037708

BLOCK:    17   PC: 000007fefe0454cb   ICOUNT:      1527   EXECUTIONS:       509   #BYTES:  8   %: 0.377   cumltv%:  10.5  FN: _fcloseall  IMG: C:\Windows\system32\msvcrt.dll  OFFSET: 154cb
XDIS 000007fefe0454cb: BASE FFC3                     inc ebx
XDIS 000007fefe0454cd: BASE 895C2420                 mov dword ptr [rsp+0x20], ebx
XDIS 000007fefe0454d1: BASE EBDF                     jmp 0x7fefe0454b2

BLOCK:    18   PC: 000000007757ac44   ICOUNT:      1485   EXECUTIONS:       135   #BYTES: 58   %: 0.366   cumltv%:  10.9  FN: RtlFreeHeap  IMG: C:\Windows\SYSTEM32\ntdll.dll  OFFSET: 2ac44
XDIS 000000007757ac44: BASE 338388000000             xor eax, dword ptr [rbx+0x88]
XDIS 000000007757ac4a: BASE 89842418020000           mov dword ptr [rsp+0x218], eax
XDIS 000000007757ac51: BASE 0FB7842418020000         movzx eax, word ptr [rsp+0x218]
XDIS 000000007757ac59: BASE 6689442478               mov word ptr [rsp+0x78], ax
XDIS 000000007757ac5e: BASE 488BB42450030000         mov rsi, qword ptr [rsp+0x350]
XDIS 000000007757ac66: BASE 488B9424A8000000         mov rdx, qword ptr [rsp+0xa8]
XDIS 000000007757ac6e: BASE 0FB7C0                   movzx eax, ax
XDIS 000000007757ac71: BASE 418BCA                   mov ecx, r10d
XDIS 000000007757ac74: BASE 2BC8                     sub ecx, eax
XDIS 000000007757ac76: BASE 85C9                     test ecx, ecx
XDIS 000000007757ac78: BASE 0F8FE1060000             jnle 0x7757b35f

BLOCK:    19   PC: 000000007757a79f   ICOUNT:      1480   EXECUTIONS:       185   #BYTES: 13   %: 0.365   cumltv%:  11.2  FN: RtlFreeHeap  IMG: C:\Windows\SYSTEM32\ntdll.dll  OFFSET: 2a79f
XDIS 000000007757a79f: BASE B001                     mov al, 0x1
XDIS 000000007757a7a1: BASE 4883C450                 add rsp, 0x50
XDIS 000000007757a7a5: BASE 415C                     pop r12
XDIS 000000007757a7a7: BASE 5F                       pop rdi
XDIS 000000007757a7a8: BASE 5E                       pop rsi
XDIS 000000007757a7a9: BASE 5D                       pop rbp
XDIS 000000007757a7aa: BASE 5B                       pop rbx
XDIS 000000007757a7ab: BASE C3                       ret 

# END_TOP_BLOCK_STATS
# EMIT_DYNAMIC_STATS FOR TID 1  OS-TID 2392 EMIT #1
#
# $dynamic-counts
#
# TID 1
#       opcode                 count
#
*mem-atomic                                                         2083
*stack-read                                                        39753
*stack-write                                                       45682
*iprel-read                                                        12698
*iprel-write                                                        4007
*mem-read-1                                                         8757
*mem-read-2                                                         9443
*mem-read-4                                                        22527
*mem-read-8                                                        71026
*mem-read-16                                                         146
*mem-read-64                                                         598
*mem-write-1                                                        2265
*mem-write-2                                                        2624
*mem-write-4                                                       13041
*mem-write-8                                                       49279
*mem-write-16                                                        152
*mem-read                                                         112497
*mem-write                                                         67361
*mem                                                              170002
*isa-ext-3DNOW                                                       598
*isa-ext-BASE                                                     400596
*isa-ext-LONGMODE                                                   4040
*isa-ext-SSE                                                         130
*isa-ext-SSE2                                                        207
*isa-set-CMOV                                                        644
*isa-set-CMPXCHG16B                                                   16
*isa-set-FAT_NOP                                                     491
*isa-set-I186                                                       5686
*isa-set-I386                                                      17346
*isa-set-I486REAL                                                   1179
*isa-set-I86                                                      375250
*isa-set-LONGMODE                                                   4024
*isa-set-PREFETCH_NOP                                                598
*isa-set-SSE                                                         130
*isa-set-SSE2                                                        207
*category-BINARY                                                   75157
*category-BITBYTE                                                   1751
*category-CALL                                                      9399
*category-CMOV                                                       644
*category-COND_BR                                                  65225
*category-CONVERT                                                    191
*category-DATAXFER                                                145637
*category-LOGICAL                                                  42590
*category-MISC                                                     11062
*category-NOP                                                        611
*category-POP                                                      11248
*category-PREFETCH                                                   598
*category-PUSH                                                     11248
*category-RET                                                       9302
*category-ROTATE                                                     957
*category-SEMAPHORE                                                 1165
*category-SETCC                                                      621
*category-SHIFT                                                     5928
*category-SSE                                                         24
*category-STRINGOP                                                  1421
*category-SYSCALL                                                    709
*category-UNCOND_BR                                                 9592
*category-WIDENOP                                                    491
*ilen-1                                                            22009
*ilen-2                                                            82984
*ilen-3                                                            94273
*ilen-4                                                            75996
*ilen-5                                                            47396
*ilen-6                                                            43586
*ilen-7                                                            20666
*ilen-8                                                            14186
*ilen-9                                                             3433
*ilen-10                                                             793
*ilen-11                                                             210
*ilen-12                                                              24
*ilen-13                                                               7
*ilen-14                                                               4
*ilen-15                                                               4
*nop-ilen-1                                                          466
*nop-ilen-2                                                           41
*nop-ilen-3                                                           94
*nop-ilen-4                                                          277
*nop-ilen-5                                                          126
*nop-ilen-6                                                           19
*nop-ilen-7                                                           26
*nop-ilen-8                                                           14
*nop-ilen-9                                                            3
*nop-ilen-10                                                           9
*nop-ilen-11                                                          11
*nop-ilen-12                                                           1
*nop-ilen-13                                                           7
*nop-ilen-14                                                           4
*nop-ilen-15                                                           4
*scalar-simd                                                          65
*sse-scalar                                                           65
*sse-packed                                                          272
*gpr64                                                            201090
*legacy-prefixes-0                                                193583
*legacy-prefixes-1                                                202527
*legacy-prefixes-2                                                  9461
*legacy-prefixes-and-escapes-0                                    149821
*legacy-prefixes-and-escapes-1                                    238399
*legacy-prefixes-and-escapes-2                                     16703
*legacy-prefixes-and-escapes-3                                       648
*segment_prefix                                                     2730
*lock_prefix                                                        2036
*repne_prefix                                                       1421
*66_prefix                                                         12224
*rex_prefix                                                       203038
*rexw_prefix                                                      157773
*rexr_prefix                                                       44323
*rexx_prefix                                                        4400
*rexb_prefix                                                       56612
*loadop                                                            70648
*one-memops                                                       166640
*two-memops                                                         3853
*cond-branch-forward                                               52870
*cond-branch-backward                                              12355
*disp_only                                                          3058
*index_disp                                                          177
*base_only                                                         54070
*base_disp                                                        104982
*base_index                                                         5072
*base_index_disp                                                    3134
*scale_1                                                          175274
*scale_2                                                            1267
*scale_4                                                             663
*scale_8                                                            4351
*memdisp8                                                          77924
*memdisp32                                                         42329
*elements_fp_single_1                                                 24
*convert_i32_1                                                       191
*dataxfer_i32_4                                                      203
*dataxfer_fp_single_1                                                 37
*dataxfer_fp_single_4                                                 69
*dataxfer_fp_double_1                                                  4
ADD                                                                17529
ADD_LOCK                                                             317
AND                                                                 5580
BSWAP                                                                 30
BT                                                                  1110
BTC                                                                    3
BTR                                                                   51
BTR_LOCK                                                             531
BTS                                                                   35
BTS_LOCK                                                              21
CALL_NEAR                                                           9399
CDQ                                                                  186
CDQE                                                                   5
